idx,band,song,mode
395,poppin_party,夏空 SUN! SUN! SEVEN! ～Popipa Acoustic Ver.～,minor
393,poppin_party,ガールズコード,major
396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,major
398,poppin_party,NO GIRL NO CRY/Poppin'Party Ver.,major
399,poppin_party,イニシャル,major
400,poppin_party,Hello! Wink!,minor
401,poppin_party,Step×Step!,major
402,poppin_party,Jumpin',major
404,poppin_party,キラキラスター！,major
403,poppin_party,White Afternoon,major
405,poppin_party,Returns,major
406,poppin_party,Dreamers Go!,major
407,poppin_party,キズナミュージック♪,major
408,poppin_party,ミライトレイン,major
409,poppin_party,夢を撃ち抜く瞬間に！,major
410,poppin_party,ぽっぴん'しゃっふる,major
411,poppin_party,夏空 SUN! SUN! SEVEN!,major
414,poppin_party,夏のドーン！,minor
413,poppin_party,HAPPY HAPPY PARTY!,major
412,poppin_party,1000回潤んだ空,major
415,poppin_party,キミにもらったもの,major
417,poppin_party,切ないSandglass,minor
418,poppin_party,Home Street,major
416,poppin_party,Light Delight,major
420,poppin_party,SAKURA MEMORIES,major
419,poppin_party,What's the POPIPA!?,major
422,poppin_party,Tomorrow's Door,major
421,poppin_party,アニバーサリー,major
423,poppin_party,イントロダクション,minor
424,poppin_party,TARINAI,minor
425,poppin_party,DOKI DOKI SCARY,minor
426,poppin_party,Photograph,major
427,poppin_party,夏に閉じこめて,major
430,poppin_party,新しい季節に,major
429,poppin_party,星の約束,minor
428,poppin_party,ぽっぴん'どりーむ！,major
431,poppin_party,トレモロアイズ,major
432,poppin_party,雨上がり、キミと,major
433,poppin_party,花咲く未来に,major
436,poppin_party,キミが始まる！,major
437,poppin_party,Moonlight Walk,minor
435,poppin_party,Sweets BAN!,major
439,poppin_party,青春 To Be Continued,major
434,poppin_party,Live Beyond!!,major
438,poppin_party,ここから先は歌にならない,major
440,poppin_party,Future Place,major
441,poppin_party,大好き！,major
442,poppin_party,Five Letters,major
446,poppin_party,とっておきAnswer,major
444,poppin_party,RiNG A BELL,major
443,poppin_party,最強☆ソング,major
447,poppin_party,START!! True dreams,major
445,poppin_party,Drive Your Heart,major
448,poppin_party,どきどきデエト,major
450,poppin_party,Chu Chueen!,minor
449,poppin_party,チョコレイトの低音レシピ,major
453,poppin_party,Game Changer,minor
454,poppin_party,花園電気ギター！！！,minor
451,poppin_party,どきどきSING OUT!,major
452,poppin_party,Freedom,major
455,poppin_party,す、好きなんかじゃない！,major
456,poppin_party,遠い音楽 ～ハートビート～,major
457,poppin_party,ほな！,major
458,poppin_party,世界中の青空をあつめて,major
459,poppin_party,勇気Limit！,minor
463,poppin_party,ちゅ、多様性。 (Cover),major
460,poppin_party,開けたらDream!,minor
461,poppin_party,絆色のアンサンブル,major
464,poppin_party,フィクション (Cover),major
462,poppin_party,NO GIRL NO CRY (Poppin'Party Ver.),major
467,poppin_party,じょいふる (Cover),minor
466,poppin_party,心絵 (Cover),major
465,poppin_party,幾億光年 (Cover),major
468,poppin_party,MATSURI BAYASHI (Cover),minor
470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),minor
471,poppin_party,夜行性ハイズ (Cover),minor
469,poppin_party,私は最強 (Cover),major
472,poppin_party,メランコリック (Cover),minor
473,poppin_party,怪獣の花唄 (Cover),major
474,poppin_party,光るなら (Cover),minor
476,poppin_party,only my railgun (Cover),minor
475,poppin_party,ミュージック・アワー (Cover),major
477,poppin_party,ロミオとシンデレラ (Cover),major
478,poppin_party,Daydream café (Cover),minor
479,poppin_party,君じゃなきゃダメみたい (Cover),minor
480,poppin_party,＊〜アスタリスク〜 (Cover),major
481,poppin_party,DAYS of DASH (Cover),minor
482,poppin_party,檄！帝国華撃団 (Cover),minor
483,poppin_party,DAYS (Cover),minor
486,poppin_party,ヴァンパイア (Cover),major
487,poppin_party,怪物 (Cover),minor
485,poppin_party,チェリボム (Cover),minor
484,poppin_party,ディスカバリー！ (Cover),major
488,poppin_party,大河よ共に泣いてくれ (Cover),minor
489,poppin_party,空色デイズ (Cover),minor
490,raise_a_suilen,Invincible Fighter,major
492,raise_a_suilen,SOUL SOLDIER,minor
493,raise_a_suilen,UNSTOPPABLE,major
491,raise_a_suilen,A DECLARATION OF ×××,minor
495,raise_a_suilen,Beautiful Birthday,minor
494,raise_a_suilen,HELL! or HELL?,minor
496,raise_a_suilen,Takin’ my Heart,minor
497,raise_a_suilen,DRIVE US CRAZY,minor
498,raise_a_suilen,!NVADE SHOW!,major
499,raise_a_suilen,REIGNING,major
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,minor
504,raise_a_suilen,Ray of hope,minor
502,raise_a_suilen,V.I.P MONSTER,minor
503,raise_a_suilen,mind of Prominence,minor
501,raise_a_suilen,R・I・O・T,minor
505,raise_a_suilen,EXIST,major
507,raise_a_suilen,-N-E-M-E-S-I-S-,major
506,raise_a_suilen,Sacred world,minor
508,raise_a_suilen,DANCING DARING,minor
509,raise_a_suilen,BATTLE CRY,minor
512,raise_a_suilen,灼熱 Bonfire!,minor
511,raise_a_suilen,THE WAY OF LIFE,minor
510,raise_a_suilen,Domination to world,minor
513,raise_a_suilen,Repaint,major
514,raise_a_suilen,Life on the Lotus,minor
520,raise_a_suilen,Don't be afraid!,minor
516,raise_a_suilen,That Is How I Roll!,minor
515,raise_a_suilen,CORUSCATE -DNA-,minor
518,raise_a_suilen,パスパレボリューションず☆,major
517,raise_a_suilen,しゅわりん☆どり～みん,major
519,raise_a_suilen,えがおのオーケストラっ！,major
521,raise_a_suilen,ゆら・ゆらRing-Dong-Dance,minor
522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),major
523,raise_a_suilen,Scarlet Sky,major
524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,minor
529,raise_a_suilen,TWIN TALE,major
528,raise_a_suilen,Apocalypse,minor
526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),minor
530,raise_a_suilen,STRAY CERBERUS,minor
527,raise_a_suilen,R･I･O･T (ライブ / アンコール),minor
531,raise_a_suilen,BERSER-KEY,minor
532,raise_a_suilen,POLARIS,minor
534,raise_a_suilen,VIVID FIRST TIME,major
533,raise_a_suilen,HOWLING AMBITION,minor
535,raise_a_suilen,'FIGHT' ADDICT,major
536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,major
537,raise_a_suilen,FIVE as ONE,major
538,raise_a_suilen,EXPOSE 'Burn out!!!' (English),minor
541,raise_a_suilen,WHAT AN EXPLOSION,minor
539,raise_a_suilen,Takin' my Heart (English),minor
540,raise_a_suilen,WELCOME TO PANDEMONIUM,minor
542,raise_a_suilen,RUNAWAY STAR,minor
543,raise_a_suilen,Bad Kids All Bet,minor
544,raise_a_suilen,Light a fire,major
545,raise_a_suilen,Embrace of light,major
548,raise_a_suilen,ラスハピーポー！,major
547,raise_a_suilen,JUST THE WAY I AM,minor
546,raise_a_suilen,OUTSIDER RODEO,major
549,raise_a_suilen,1/3の純情な感情 (Cover),major
550,raise_a_suilen,ヒトリノ夜 (Cover),minor
552,raise_a_suilen,メギツネ (Cover),minor
551,raise_a_suilen,激動 (Cover),minor
553,raise_a_suilen,Bling-Bang-Bang-Born (Cover),minor
554,raise_a_suilen,第六感 (Cover),minor
555,raise_a_suilen,革命道中 (Cover),minor
556,raise_a_suilen,Get Wild (Cover),major
557,raise_a_suilen,ボッカデラべリタ (Cover),major
558,raise_a_suilen,第ゼロ感 (Cover),minor
561,raise_a_suilen,Keep the Heat and Fire Yourself Up (Cover),minor
559,raise_a_suilen,劣等上等 (Cover),minor
560,raise_a_suilen,Just Awake (Cover),major
562,raise_a_suilen,ボッカデラベリタ (Cover),major
563,raise_a_suilen,VORACITY (Cover),minor
564,raise_a_suilen,神っぽいな (Cover),major
565,raise_a_suilen,狂乱 Hey Kids!! (Cover),minor
566,raise_a_suilen,SAVIOR OF SONG (Cover),minor
567,raise_a_suilen,恋しさとせつなさと心強さと (Cover),major
569,raise_a_suilen,CORE PRIDE (Cover),minor
571,roselia,BLACK SHOUT,minor
570,roselia,Neo-Aspect,major
568,raise_a_suilen,DEPARTURES (Cover),major
572,roselia,Opera of the wasteland,major
573,roselia,陽だまりロードナイト,major
574,roselia,ONENESS,minor
575,roselia,Re:birth day,major
577,roselia,- HEROIC ADVENT -,major
576,roselia,Legendary,minor
578,roselia,Determination Symphony,major
579,roselia,熱色スターマイン,minor
581,roselia,LOUDER,major
580,roselia,軌跡,major
582,roselia,R,minor
583,roselia,BRAVE JEWEL,minor
585,roselia,Safe and Sound,major
587,roselia,Break your desire,minor
584,roselia,FIRE BIRD,minor
586,roselia,Avant-garde HISTORY,minor
589,roselia,約束,minor
590,roselia,"""UNIONS"" Road",major
591,roselia,Song I am.,minor
592,roselia,Sage der Rosen,minor
593,roselia,覚悟のLiberation,minor
594,roselia,Keep Heart,minor
595,roselia,Original Call,major
596,roselia,Always recall.,minor
599,roselia,閃光,minor
597,roselia,Floral Haven,major
598,roselia,Sprechchor,minor
600,roselia,THE HISTORIC...,minor
602,roselia,廻廻奇譚,minor
601,roselia,ROZEN HORIZON,minor
604,roselia,Synchrogazer,minor
606,roselia,Dazzle the Destiny,major
603,roselia,鳥の詩,minor
607,roselia,Grateful Melting,major
605,roselia,名前のない怪物,major
609,roselia,Steadfast Spirits,minor
608,roselia,Second to None,minor
610,roselia,紫炎,minor
611,roselia,XV,minor
613,roselia,Fear Nothing,major
612,roselia,Blessing Chord,major
614,roselia,PASSIONATE ANTHEM,minor
615,roselia,Requiem for Fate,major
617,roselia,Sunlit Musical,minor
616,roselia,Sanctuary,major
618,roselia,Talk to My Tone,major
619,roselia,一逢のFull Glory,major
620,roselia,礎の花冠,minor
621,roselia,FRONTIER FANTASIA,minor
622,roselia,Dear Gleam,major
623,roselia,Call the shots,minor
624,roselia,THRONE OF ROSE,minor
625,roselia,VIOLET LINE,major
627,roselia,ZEAL of proud,minor
626,roselia,Ringing Bloom,minor
630,roselia,overtuRe,minor
628,roselia,Singing “OURS”,minor
629,roselia,競宴Red×Violet,minor
631,roselia,Proud of oneself,minor
635,roselia,ヒバナ -Reloaded- (Cover),minor
634,roselia,Reweave (Cover),minor
632,roselia,Sing Alive,major
636,roselia,ファタール (Cover),major
633,roselia,Swear ～Night & Day～,minor
