query_id,arm,rank,tag,band,song,intensity,band_pct,lyric_cosine
Q122,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q122,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.5982
Q123,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q123,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6607
Q124,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q124,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.5477
Q125,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q125,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6968
Q126,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q126,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.5864
Q127,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q127,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6271
Q128,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q128,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.5506
Q129,arm1,1,raise_a_suilen__550,raise_a_suilen,ヒトリノ夜 (Cover),0.8993,0.8354,
Q129,arm2,1,raise_a_suilen__550,raise_a_suilen,ヒトリノ夜 (Cover),0.8993,0.8354,0.5634
Q130,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q130,arm2,1,poppin_party__427,poppin_party,夏に閉じこめて,0.1987,0.087,0.6128
Q131,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q131,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.7082
Q132,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q132,arm2,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,0.5941
Q133,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q133,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6509
Q134,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q134,arm2,1,raise_a_suilen__544,raise_a_suilen,Light a fire,0.0702,0.0127,0.5695
Q135,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q135,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.7304
Q136,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q136,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.535
Q137,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q137,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6306
Q138,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q138,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6096
Q139,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q139,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6406
Q140,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q140,arm2,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,0.6296
Q141,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q141,arm2,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,0.6944
Q142,arm1,1,ave_mujica__093,ave_mujica,Angles,0.0222,0.0345,
Q142,arm2,1,poppin_party__415,poppin_party,キミにもらったもの,0.0415,0.0087,0.6104
Q143,arm1,1,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),0.8008,0.8472,
Q143,arm2,1,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.8059,0.6757,0.5999
Q144,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q144,arm2,1,roselia__585,roselia,Safe and Sound,0.3954,0.3258,0.5192
Q145,arm1,1,roselia__647,roselia,This game (Cover),0.6011,0.6854,
Q145,arm2,1,raise_a_suilen__514,raise_a_suilen,Life on the Lotus,0.6064,0.2532,0.5589
Q146,arm1,1,ave_mujica__075,ave_mujica,Crucifix X,0.2994,0.3448,
Q146,arm2,1,poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,0.2975,0.2,0.5858
Q147,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q147,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.6331
Q148,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q148,arm2,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,0.5386
Q149,arm1,1,ave_mujica__075,ave_mujica,Crucifix X,0.2994,0.3448,
Q149,arm2,1,poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,0.2975,0.2,0.53
Q150,arm1,1,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),0.8008,0.8472,
Q150,arm2,1,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.8059,0.6757,0.659
Q151,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q151,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.5816
Q152,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q152,arm2,1,roselia__585,roselia,Safe and Sound,0.3954,0.3258,0.6136
Q153,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q153,arm2,1,roselia__585,roselia,Safe and Sound,0.3954,0.3258,0.5223
Q154,arm1,1,ave_mujica__075,ave_mujica,Crucifix X,0.2994,0.3448,
Q154,arm2,1,poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,0.2975,0.2,0.595
Q155,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q155,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.5981
Q156,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q156,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.5748
Q157,arm1,1,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),0.8008,0.8472,
Q157,arm2,1,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.8059,0.6757,0.5774
Q158,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q158,arm2,1,poppin_party__469,poppin_party,私は最強 (Cover),0.4075,0.3391,0.5495
Q159,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q159,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6691
Q160,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q160,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.7384
Q161,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q161,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.5942
Q162,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q162,arm2,1,afterglow__071,afterglow,I love your way！,0.7038,0.8194,0.5545
Q163,arm1,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,
Q163,arm2,1,morfonica__189,morfonica,Sweet Cheers!,0.1993,0.0526,0.5815
Q164,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q164,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.6447
Q165,arm1,1,ave_mujica__075,ave_mujica,Crucifix X,0.2994,0.3448,
Q165,arm2,1,poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,0.2975,0.2,0.6112
Q166,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q166,arm2,1,afterglow__001,afterglow,That Is How I Roll!,0.8656,0.9722,0.6286
Q167,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q167,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6806
Q168,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q168,arm2,1,pastel_palettes__330,pastel_palettes,DISCOTHEQUE,0.6956,0.4865,0.6005
Q169,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q169,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6661
Q170,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q170,arm2,1,poppin_party__438,poppin_party,ここから先は歌にならない,0.694,0.8174,0.6409
Q171,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q171,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6102
Q172,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q172,arm2,1,afterglow__001,afterglow,That Is How I Roll!,0.8656,0.9722,0.6773
Q173,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q173,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6727
Q174,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q174,arm2,1,pastel_palettes__330,pastel_palettes,DISCOTHEQUE,0.6956,0.4865,0.5976
Q175,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q175,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.6141
Q176,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q176,arm2,1,pastel_palettes__330,pastel_palettes,DISCOTHEQUE,0.6956,0.4865,0.6304
Q177,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q177,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.6373
Q178,arm1,1,raise_a_suilen__509,raise_a_suilen,BATTLE CRY,0.7009,0.4937,
Q178,arm2,1,poppin_party__438,poppin_party,ここから先は歌にならない,0.694,0.8174,0.6363
Q179,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q179,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.652
Q180,arm1,1,raise_a_suilen__491,raise_a_suilen,A DECLARATION OF ×××,0.9932,1.0,
Q180,arm2,1,afterglow__002,afterglow,SENSENFUKOKU,0.5828,0.625,0.6087
Q181,arm1,1,roselia__623,roselia,Call the shots,0.3997,0.3371,
Q181,arm2,1,ave_mujica__072,ave_mujica,KiLLKiSS,0.4028,0.5172,0.712
Q182,arm1,1,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),0.8008,0.8472,
Q182,arm2,1,pastel_palettes__344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),0.8059,0.6757,0.6824
Q183,arm1,1,roselia__647,roselia,This game (Cover),0.6011,0.6854,
Q183,arm2,1,mygo__661,mygo,羅永線,0.597,0.8636,0.6521
Q184,arm1,1,morfonica__194,morfonica,Wreath of Brave,0.4997,0.6316,
Q184,arm2,1,poppin_party__423,poppin_party,イントロダクション,0.5008,0.4696,0.6419
