tag,band,song,detected_lang,lang_prob,n_segments,n_chars,avg_logprob_mean
morfonica__211,morfonica,Portray Empathy,ja,0.98876953125,45,526,-0.20560037599478187
morfonica__212,morfonica,ビューティ・フォー,ja,0.99072265625,29,491,-0.18955747289965044
morfonica__213,morfonica,胡蝶翔る星月夜,ja,0.97314453125,28,460,-0.1971683846470633
morfonica__214,morfonica,Color of Us,ja,0.9072265625,47,608,-0.24991313344465327
morfonica__215,morfonica,Resonant Strings,ja,0.9814453125,33,594,-0.26578578841814543
morfonica__216,morfonica,Shining Leaves,ja,0.96826171875,28,418,-0.22273258709904314
morfonica__217,morfonica,音がえしのセレナーデ,ja,0.8251953125,50,513,-0.35888091584050685
morfonica__218,morfonica,蒼穹へのトレイル,ja,0.98828125,40,500,-0.27395510129902656
morfonica__219,morfonica,QUEEN (Cover),ja,0.9892578125,23,375,-0.26844221574721466
morfonica__220,morfonica,again (Cover),ja,0.9921875,51,761,-0.2142923387726303
morfonica__221,morfonica,輪舞-revolution (Cover),ja,0.923828125,31,682,-0.21622943973839218
morfonica__222,morfonica,メロウ (Cover),ja,0.98583984375,27,1096,-0.23116922938647488
morfonica__223,morfonica,祝福 (Cover),ja,0.9482421875,34,475,-0.13621058751972862
morfonica__224,morfonica,Overdose (Cover),ja,0.88427734375,46,705,-0.34942428886900834
morfonica__225,morfonica,かくれんぼ (Cover),ja,0.966796875,50,627,-0.2228980086374908
morfonica__226,morfonica,chAngE (Cover),ja,0.99560546875,54,750,-0.1965735259191629
morfonica__227,morfonica,ALIVE (Cover),ja,0.94482421875,30,404,-0.2111513569162538
morfonica__228,morfonica,Nameless Story (Cover),ja,0.955078125,45,665,-0.31064360316398976
morfonica__229,morfonica,青空のラプソディ (Cover),ja,0.93310546875,51,608,-0.25682016052761
morfonica__230,morfonica,Nevereverland (Cover),ja,0.85009765625,39,1213,-0.2485140478142853
morfonica__231,morfonica,メリッサ (Cover),ja,0.9921875,30,394,-0.18797193387595265
morfonica__232,morfonica,COLORFUL BOX (Cover),ja,0.970703125,38,575,-0.16921152403635734
morfonica__233,morfonica,unravel (Cover),ja,0.95458984375,34,454,-0.21806255922833367
morfonica__234,morfonica,アゲハ蝶 (Cover),ja,0.919921875,36,602,-0.16454918311412392
morfonica__235,morfonica,V.I.P (Cover),ja,0.927734375,33,444,-0.24552915142029286
morfonica__236,morfonica,CQCQ (Cover),ja,0.9609375,25,495,-0.2383673862652492
mugendai_mutype__237,mugendai_mutype,アイの夢限,ja,0.95556640625,40,454,-0.1987392454908114
mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,ja,0.98486328125,27,423,-0.2064286536401721
mugendai_mutype__239,mugendai_mutype,みゅーたんとミュータント,ja,0.9560546875,60,826,-0.3245728127832663
mugendai_mutype__240,mugendai_mutype,チューニング,ja,0.98486328125,22,300,-0.2133338042197708
mugendai_mutype__241,mugendai_mutype,Dream Voyage,ja,0.9853515625,31,374,-0.2225228482207829
mugendai_mutype__242,mugendai_mutype,グラディエント,ja,0.990234375,18,216,-0.26026634274918875
mugendai_mutype__243,mugendai_mutype,LET'Sあちあちトレーニング！,ja,0.96728515625,58,501,-0.2612894017263971
mugendai_mutype__244,mugendai_mutype,真夜中遊園地,ja,0.98046875,58,824,-0.2546969019176939
mugendai_mutype__245,mugendai_mutype,テレパシー,ja,0.9853515625,30,391,-0.21866883573360052
mugendai_mutype__246,mugendai_mutype,TRASH LIFE,ja,0.95654296875,46,563,-0.22570454095773634
mugendai_mutype__247,mugendai_mutype,新人類は仮想世界の夢を見るか?,ja,0.94482421875,35,417,-0.3186182232328025
mugendai_mutype__248,mugendai_mutype,コミュ着火Fire!,ja,0.931640625,19,291,-0.3635263538035907
mugendai_mutype__249,mugendai_mutype,Calling,ja,0.97021484375,36,471,-0.3541494992302432
mugendai_mutype__250,mugendai_mutype,Hi-Vision,ja,0.99169921875,27,420,-0.22561904543112357
mugendai_mutype__251,mugendai_mutype,コハク,ja,0.98681640625,26,305,-0.18210281697262282
mugendai_mutype__252,mugendai_mutype,✞animaるパーティ✞開催中✞,ja,0.966796875,41,419,-0.26064705338758176
mugendai_mutype__253,mugendai_mutype,エンプティパペット,ja,0.9765625,57,746,-0.2105450070973079
mugendai_mutype__254,mugendai_mutype,限界現実サバイブ天使,ja,0.9296875,51,609,-0.338231842963621
mugendai_mutype__255,mugendai_mutype,ビッグマウス,ja,0.9716796875,39,574,-0.33388346641471717
mugendai_mutype__256,mugendai_mutype,夢現妄想世界,ja,0.99560546875,42,604,-0.32178887183754895
mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,ja,0.90478515625,43,573,-0.3621960404772898
mugendai_mutype__258,mugendai_mutype,超惑星Xへの旅,ja,0.89111328125,33,392,-0.45018370323567486
mugendai_mutype__259,mugendai_mutype,これはぼくたちの生存のあらすじ,ja,0.9306640625,51,585,-0.3176643443214272
mygo__260,mygo,迷星叫,ja,0.93896484375,31,465,-0.2572824150263515
mygo__261,mygo,壱雫空,ja,0.982421875,32,475,-0.2688594013610896
mygo__262,mygo,碧天伴走,ja,0.97216796875,46,499,-0.2859474586599461
mygo__263,mygo,影色舞,ja,0.974609375,33,517,-0.3449821512951864
mygo__264,mygo,歌いましょう鳴らしましょう,ja,0.9892578125,29,364,-0.24323629751024364
mygo__265,mygo,潜在表明,ja,0.98291015625,45,740,-0.19712000429537582
mygo__266,mygo,音一会,ja,0.98828125,52,647,-0.23657110980315066
mygo__267,mygo,春日影 (MyGO!!!!! ver.),ja,0.98095703125,33,420,-0.26913449051740923
mygo__268,mygo,詩超絆,ja,0.9814453125,35,457,-0.2708363503159675
mygo__269,mygo,迷路日々,ja,0.94873046875,34,326,-0.3629978368092862
mygo__270,mygo,無路矢,ja,0.9072265625,28,256,-0.40213967280798063
mygo__271,mygo,名無声,ja,0.8427734375,40,471,-0.2831317768984952
mygo__272,mygo,栞,ja,0.99609375,53,606,-0.24383041724728505
mygo__273,mygo,歩拾道,ja,0.990234375,34,485,-0.21204085148058877
mygo__274,mygo,明弦音,ja,0.978515625,34,296,-0.3787806570256524
mygo__275,mygo,孤壊牢,ja,0.97314453125,41,441,-0.37853458959129915
mygo__276,mygo,霧周途,ja,0.93017578125,42,476,-0.32762862803628384
mygo__277,mygo,端程山,ja,0.9921875,45,537,-0.24545011871199998
mygo__278,mygo,処救生,ja,0.97119140625,51,495,-0.25477029465405465
mygo__279,mygo,輪符雨,ja,0.97119140625,29,352,-0.28706649480845325
mygo__280,mygo,夜隠染,ja,0.9833984375,31,301,-0.3398865295971319
mygo__281,mygo,過惰幻,ja,0.9775390625,37,388,-0.30227402213474175
mygo__282,mygo,回層浮,ja,0.96728515625,50,713,-0.1915606824488608
mygo__283,mygo,砂寸奏,ja,0.92822265625,36,279,-0.3725713657708509
mygo__284,mygo,焚音打,ja,0.9853515625,54,644,-0.2245736969059989
mygo__285,mygo,残痕字,ja,0.9833984375,36,566,-0.22706270654257096
mygo__286,mygo,掌心正銘,ja,0.93798828125,35,631,-0.25976802732596993
mygo__287,mygo,証命讃歌,ja,0.982421875,46,477,-0.28096548139831395
mygo__288,mygo,エガクミライ,ja,0.97998046875,23,284,-0.21900772504562077
mygo__289,mygo,静降想,ja,0.98681640625,40,443,-0.3415197133556168
mygo__290,mygo,聿日箋秋,ja,0.99169921875,36,547,-0.17610806751207672
mygo__291,mygo,往欄印,ja,0.98486328125,42,683,-0.23095094389855225
