arm,prompt_id,rank,tag,band,song,cosine
summary,C4-L1,1,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,0.7638611793518066
summary,C4-L1,2,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,0.7286179661750793
summary,C4-L1,3,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,0.7260991930961609
summary,C4-L1,4,pastel_palettes__301,pastel_palettes,TITLE IDOL,0.7209541201591492
summary,C4-L1,5,mygo__261,mygo,壱雫空,0.6450488567352295
summary,C4-L4,1,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,0.6999388933181763
summary,C4-L4,2,pastel_palettes__301,pastel_palettes,TITLE IDOL,0.6746854782104492
summary,C4-L4,3,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,0.6605414748191833
summary,C4-L4,4,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,0.6484522819519043
summary,C4-L4,5,mygo__261,mygo,壱雫空,0.6302273273468018
keyword,C1-L1,1,mygo__260,mygo,迷星叫,0.6389526128768921
keyword,C1-L1,2,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.6173402667045593
keyword,C1-L1,3,mugendai_mutype__237,mugendai_mutype,アイの夢限,0.5936380624771118
keyword,C1-L1,4,morfonica__180,morfonica,Daylight -デイライト-,0.5905073881149292
keyword,C1-L1,5,mygo__261,mygo,壱雫空,0.5864620804786682
keyword,C1-L4,1,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.5977518558502197
keyword,C1-L4,2,mygo__260,mygo,迷星叫,0.577178955078125
keyword,C1-L4,3,mygo__261,mygo,壱雫空,0.5532364845275879
keyword,C1-L4,4,mugendai_mutype__237,mugendai_mutype,アイの夢限,0.5519343614578247
keyword,C1-L4,5,morfonica__180,morfonica,Daylight -デイライト-,0.5469708442687988
keyword,C2-L1,1,mygo__260,mygo,迷星叫,0.5987439751625061
keyword,C2-L1,2,mygo__261,mygo,壱雫空,0.5769435167312622
keyword,C2-L1,3,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.5695315003395081
keyword,C2-L1,4,morfonica__180,morfonica,Daylight -デイライト-,0.5291531085968018
keyword,C2-L1,5,mugendai_mutype__237,mugendai_mutype,アイの夢限,0.5164410471916199
keyword,C2-L4,1,mygo__260,mygo,迷星叫,0.594437837600708
keyword,C2-L4,2,morfonica__180,morfonica,Daylight -デイライト-,0.5785739421844482
keyword,C2-L4,3,ave_mujica__072,ave_mujica,KiLLKiSS,0.5761061906814575
keyword,C2-L4,4,mugendai_mutype__237,mugendai_mutype,アイの夢限,0.5733236074447632
keyword,C2-L4,5,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.5713081359863281
keyword,C3-L1,1,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,0.494671106338501
keyword,C3-L1,2,mygo__260,mygo,迷星叫,0.4737403988838196
keyword,C3-L1,3,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.4671489894390106
keyword,C3-L1,4,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,0.46450403332710266
keyword,C3-L1,5,ave_mujica__072,ave_mujica,KiLLKiSS,0.46299266815185547
keyword,C3-L4,1,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",0.5608052611351013
keyword,C3-L4,2,mygo__260,mygo,迷星叫,0.49571990966796875
keyword,C3-L4,3,mugendai_mutype__237,mugendai_mutype,アイの夢限,0.48133277893066406
keyword,C3-L4,4,ave_mujica__072,ave_mujica,KiLLKiSS,0.4721751809120178
keyword,C3-L4,5,mygo__261,mygo,壱雫空,0.4655004143714905
keyword,C4-L1,1,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,0.5515223145484924
keyword,C4-L1,2,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,0.504068911075592
keyword,C4-L1,3,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,0.4662066102027893
keyword,C4-L1,4,ave_mujica__072,ave_mujica,KiLLKiSS,0.4622427821159363
keyword,C4-L1,5,pastel_palettes__301,pastel_palettes,TITLE IDOL,0.442548543214798
keyword,C4-L4,1,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,0.5502166748046875
keyword,C4-L4,2,ave_mujica__072,ave_mujica,KiLLKiSS,0.514668881893158
keyword,C4-L4,3,mygo__260,mygo,迷星叫,0.5031901001930237
keyword,C4-L4,4,pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,0.49757662415504456
keyword,C4-L4,5,pastel_palettes__301,pastel_palettes,TITLE IDOL,0.4788493514060974
