tag,drum_tempo_bpm,pulse_acf_slow,pulse_acf_half,pulse_ratio_down,pulse_recommend_half
afterglow__048,99.4,0.488,0.47147008776664734,0.966127229030015,False
afterglow__049,99.4,0.775,0.716830313205719,0.9249423396202825,False
afterglow__050,95.7,0.721,0.6231544017791748,0.864291819388592,False
afterglow__053,103.4,0.631,0.6648783683776855,1.0536899657332577,False
afterglow__056,99.4,0.625,0.608104944229126,0.9729679107666016,False
afterglow__057,92.3,0.77,0.7243662476539612,0.9407353865635859,False
afterglow__059,92.3,0.581,0.5468549132347107,0.9412304874951992,False
afterglow__060,99.4,0.715,0.7148489952087402,0.9997888044877487,False
afterglow__061,95.7,0.643,0.600975513458252,0.934643100246115,False
afterglow__062,92.3,0.651,0.6478652954101562,0.9951847855762769,False
afterglow__065,94.0,0.634,0.6048232316970825,0.9539798607209503,False
afterglow__068,90.7,0.678,0.7167880535125732,1.0572095184551227,False
afterglow__069,92.3,0.625,0.6174443960189819,0.9879110336303711,False
afterglow__070,90.7,0.628,0.5845481753349304,0.9308091963932013,False
ave_mujica__074,105.5,0.58,0.5761110186576843,0.9932948597546282,False
ave_mujica__079,99.4,0.619,0.5928290486335754,0.9577205955308166,False
ave_mujica__083,95.7,0.717,0.6382456421852112,0.8901612861718426,False
ave_mujica__086,99.4,0.725,0.6410783529281616,0.8842460040388437,False
ave_mujica__090,99.4,0.776,0.7253596186637878,0.9347417766285926,False
ave_mujica__091,95.7,0.409,0.2808680534362793,0.6867189570569177,False
ave_mujica__095,99.4,0.725,0.7199550271034241,0.9930414166943781,False
ave_mujica__097,95.7,0.416,0.2859010696411133,0.6872621866372916,False
ave_mujica__098,103.4,0.727,0.6308692693710327,0.8677706593824385,False
ave_mujica__099,87.6,0.76,0.7411379218101501,0.975181476065987,False
ave_mujica__100,95.7,0.639,0.5741561055183411,0.8985228568362145,False
various_artists__101,90.7,0.648,0.5731512904167175,0.884492732124564,False
various_artists__102,90.7,0.626,0.5846410393714905,0.9339313727979082,False
hello_happy_world__107,99.4,0.734,0.7253869771957397,0.9882656365064575,False
hello_happy_world__110,86.1,0.703,0.67018061876297,0.9533152471734994,False
hello_happy_world__111,95.7,0.684,0.6267699003219604,0.916330263628597,False
hello_happy_world__112,87.6,0.627,0.5851641893386841,0.9332762190409635,False
hello_happy_world__113,107.7,0.665,0.7035889029502869,1.0580284254891532,False
hello_happy_world__114,90.7,0.723,0.6458030939102173,0.8932269625314209,False
hello_happy_world__120,97.5,0.726,0.6662279963493347,0.9176694164591388,False
hello_happy_world__123,86.1,0.758,0.7424815893173218,0.9795271626877596,False
hello_happy_world__124,92.3,0.623,0.6896792054176331,1.1070292221791862,False
hello_happy_world__128,92.3,0.702,0.6719001531600952,0.957122725299281,False
hello_happy_world__134,90.7,0.663,0.5923556089401245,0.8934473739670052,False
hello_happy_world__141,89.1,0.76,0.751922607421875,0.9893718518708882,False
hello_happy_world__150,110.0,0.597,0.5811458826065063,0.9734436894581346,False
hello_happy_world__153,87.6,0.807,0.7632289528846741,0.94576078424371,False
hello_happy_world__154,99.4,0.747,0.6611582636833191,0.8850846903391153,False
hello_happy_world__156,92.3,0.654,0.6465208530426025,0.9885639954779855,False
hello_happy_world__162,110.0,0.635,0.6949663758277893,1.0944352375240776,False
hello_happy_world__176,110.0,0.563,0.6667371988296509,1.1842579020064847,False
hello_happy_world__177,92.3,0.79,0.6991437077522278,0.8849920351294022,False
morfonica__180,92.3,0.577,0.5832182168960571,1.010776805712404,False
morfonica__181,90.7,0.691,0.6808348894119263,0.9852892755599513,False
morfonica__182,95.7,0.633,0.5907006859779358,0.9331764391436584,False
morfonica__183,90.7,0.658,0.5894776582717896,0.8958627025407135,False
morfonica__184,92.3,0.637,0.5911593437194824,0.9280366463414167,False
morfonica__186,87.6,0.627,0.6550325751304626,1.044709051244757,False
morfonica__187,87.6,0.558,0.529908299446106,0.9496564506202615,False
morfonica__188,90.7,0.601,0.5886170268058777,0.9793960512577,False
morfonica__189,110.0,0.475,0.6192083954811096,1.303596622065494,False
morfonica__190,92.3,0.739,0.7255178689956665,0.981756250332431,False
morfonica__191,103.4,0.607,0.5402536392211914,0.8900389443512214,False
morfonica__192,97.5,0.719,0.6948232650756836,0.9663744994098521,False
morfonica__197,86.1,0.671,0.6280102729797363,0.9359318524288172,False
morfonica__198,97.5,0.695,0.745739221572876,1.073006074205577,False
morfonica__202,99.4,0.74,0.6918951869010925,0.9349934958122872,False
morfonica__203,87.6,0.722,0.6638280749320984,0.9194294666649563,False
morfonica__204,101.3,0.683,0.657843291759491,0.9631673378616266,False
morfonica__205,95.7,0.71,0.6609090566635132,0.9308578262866384,False
morfonica__206,94.0,0.577,0.6116949915885925,1.0601299680911482,False
morfonica__210,87.6,0.685,0.7031484842300415,1.0264941375621044,False
morfonica__211,86.1,0.751,0.728865385055542,0.9705264781032517,False
morfonica__212,99.4,0.777,0.7176960110664368,0.923675689918194,False
morfonica__213,99.4,0.667,0.6372015476226807,0.9553246591044687,False
morfonica__214,97.5,0.656,0.6286581754684448,0.9583203894336049,False
morfonica__215,97.5,0.683,0.658236026763916,0.9637423525093938,False
morfonica__216,92.3,0.621,0.6204293370246887,0.9990810580107709,False
morfonica__217,92.3,0.668,0.6595075130462646,0.9872866961770428,False
morfonica__218,95.7,0.712,0.6533403992652893,0.9176129203164176,False
morfonica__220,94.0,0.477,0.3629157245159149,0.7608296111444758,False
morfonica__225,90.7,0.666,0.5780508518218994,0.8679442219548039,False
morfonica__227,89.1,0.604,0.5109204649925232,0.8458948095902702,False
morfonica__228,97.5,0.676,0.6284685730934143,0.9296872383038672,False
morfonica__230,103.4,0.692,0.6655836701393127,0.9618261129180821,False
morfonica__235,92.3,0.707,0.6755378246307373,0.9554990447393739,False
mugendai_mutype__240,97.5,0.743,0.7240534424781799,0.9744999225816688,False
mugendai_mutype__243,178.2,0.632,0.5938482284545898,0.9396332728711865,False
mugendai_mutype__244,97.5,0.781,0.7513726353645325,0.9620648340134859,False
mugendai_mutype__245,89.1,0.591,0.6236717104911804,1.0552820820493747,False
mugendai_mutype__247,90.7,0.687,0.5835216045379639,0.8493764258194524,False
mugendai_mutype__248,99.4,0.807,0.735385000705719,0.911257745608078,False
mugendai_mutype__249,87.6,0.627,0.8064530491828918,1.2862090098610715,False
mugendai_mutype__250,101.3,0.734,0.6506450176239014,0.8864373537110373,False
mugendai_mutype__251,97.5,0.784,0.7708824872970581,0.9832684786952272,False
mugendai_mutype__252,97.5,0.691,0.676822304725647,0.9794823512672172,False
mugendai_mutype__254,94.0,0.785,0.743205726146698,0.9467588868110802,False
mugendai_mutype__256,97.5,0.731,0.7567406892776489,1.035212981227974,False
mugendai_mutype__259,95.7,0.736,0.7669482827186584,1.0420492971720903,False
mygo__260,95.7,0.649,0.6334417462348938,0.9760273439674788,False
mygo__261,101.3,0.62,0.5772051811218262,0.9309760985835906,False
mygo__262,95.7,0.612,0.5947186350822449,0.9717624756245832,False
mygo__264,110.0,0.693,0.6416538953781128,0.9259074969381138,False
mygo__266,99.4,0.668,0.6005740165710449,0.8990628990584504,False
mygo__267,97.5,0.485,0.44610273838043213,0.9197994605782106,False
mygo__268,95.7,0.521,0.48407745361328125,0.9291313888930542,False
mygo__271,95.7,0.618,0.5597933530807495,0.9058144871856788,False
mygo__272,87.6,0.569,0.542557418346405,0.9535279760042269,False
mygo__274,92.3,0.727,0.6926884055137634,0.9528038590285605,False
mygo__275,90.7,0.628,0.5820759534835815,0.9268725373942381,False
mygo__276,110.0,0.759,0.7335562109947205,0.9664772213369176,False
mygo__277,90.7,0.631,0.5343708395957947,0.8468634541930185,False
mygo__278,95.7,0.599,0.5720378160476685,0.9549880067573764,False
mygo__282,99.4,0.552,0.6049280762672424,1.0958841961363086,False
mygo__283,90.7,0.552,0.5581823587417603,1.011199925256812,False
mygo__284,95.7,0.74,0.6390876770019531,0.8636319959485853,False
mygo__285,87.6,0.689,0.6816715002059937,0.9893635706908471,False
mygo__286,92.3,0.655,0.5636618137359619,0.8605523873831479,False
mygo__287,105.5,0.73,0.6698005795478821,0.9175350404765508,False
mygo__288,87.6,0.469,0.5442583560943604,1.1604655780263549,False
mygo__290,90.7,0.662,0.640397846698761,0.9673683484875543,False
mygo__291,90.7,0.616,0.5553475618362427,0.9015382497341602,False
mygo__293,87.6,0.623,0.5737582445144653,0.9209602640681627,False
mygo__294,86.1,0.625,0.5214906930923462,0.8343851089477539,False
mygo__295,94.0,0.756,0.6724502444267273,0.8894844502999039,False
mygo__296,97.5,0.673,0.6183156371116638,0.9187453746087129,False
mygo__298,97.5,0.717,0.7287962436676025,1.0164522226884276,False
pastel_palettes__303,86.1,0.758,0.7510393261909485,0.9908170530223595,False
pastel_palettes__305,86.1,0.706,0.7433802485466003,1.0529465276864027,False
pastel_palettes__307,87.6,0.711,0.7092320919036865,0.9975134907224846,False
pastel_palettes__308,87.6,0.744,0.7207361459732056,0.9687313789962441,False
pastel_palettes__309,92.3,0.669,0.6000500321388245,0.8969357730027271,False
pastel_palettes__310,99.4,0.697,0.7012004256248474,1.0060264356167108,False
pastel_palettes__313,87.6,0.777,0.6847617030143738,0.8812891930686921,False
pastel_palettes__314,99.4,0.631,0.5969966650009155,0.9461119889079486,False
pastel_palettes__316,89.1,0.651,0.5884442925453186,0.903908283479752,False
pastel_palettes__317,172.3,0.672,0.5935889482498169,0.8833168872765131,False
pastel_palettes__321,172.3,0.609,0.6277350187301636,1.0307635775536348,True
pastel_palettes__322,95.7,0.741,0.643952488899231,0.8690316989193401,False
pastel_palettes__324,95.7,0.546,0.5974165201187134,1.0941694507668742,False
pastel_palettes__327,86.1,0.728,0.6877520680427551,0.9447143791796088,False
pastel_palettes__331,87.6,0.825,0.8664299249649048,1.0502180908665513,False
pastel_palettes__334,92.3,0.757,0.7147486209869385,0.9441857608810283,False
pastel_palettes__335,89.1,0.83,0.8490325808525085,1.022930820304227,False
pastel_palettes__336,92.3,0.756,0.7391111254692078,0.9776602188746134,False
pastel_palettes__338,94.0,0.754,0.7742604613304138,1.0268706383692492,False
pastel_palettes__340,94.0,0.768,0.7295699715614319,0.9499609004706144,False
pastel_palettes__344,105.5,0.665,0.6445375680923462,0.9692294257027761,False
pastel_palettes__346,87.6,0.784,0.763240396976471,0.9735209145108047,False
pastel_palettes__348,90.7,0.725,0.6869661808013916,0.9475395597260574,False
pastel_palettes__349,87.6,0.779,0.7754764556884766,0.9954768365705732,False
pastel_palettes__356,101.3,0.562,0.6381636261940002,1.1355224665373669,False
pastel_palettes__361,90.7,0.757,0.6916441917419434,0.9136647182852621,False
pastel_palettes__362,86.1,0.755,0.7278099656105042,0.9639867094178863,False
pastel_palettes__364,90.7,0.808,0.7857846617698669,0.9725057695171619,False
pastel_palettes__369,172.3,0.647,0.5713399648666382,0.8830602239051595,False
pastel_palettes__370,86.1,0.675,0.6837180256843567,1.0129155936064542,False
pastel_palettes__373,86.1,0.649,0.8128800988197327,1.252511708504981,False
poppin_party__375,92.3,0.63,0.6433008313179016,1.021112430663336,False
poppin_party__376,97.5,0.699,0.6756563782691956,0.9666042607570753,False
poppin_party__378,95.7,0.566,0.5374361872673035,0.9495338997655539,False
poppin_party__379,90.7,0.63,0.5617794990539551,0.8917134905618335,False
poppin_party__380,90.7,0.64,0.5704336762428284,0.8913026191294193,False
poppin_party__382,90.7,0.719,0.7146865725517273,0.9940007963167279,False
poppin_party__384,178.2,0.651,0.5886527299880981,0.9042284638834073,False
poppin_party__385,107.7,0.567,0.45777976512908936,0.8073717198043905,False
poppin_party__386,95.7,0.701,0.683656632900238,0.975259105421167,False
poppin_party__389,87.6,0.829,0.8040648698806763,0.969921435320478,False
poppin_party__391,94.0,0.767,0.7248128056526184,0.9449971390516537,False
poppin_party__392,90.7,0.681,0.6140453219413757,0.9016818237024606,False
poppin_party__396,87.6,0.552,0.5684953927993774,1.0298829579698865,False
poppin_party__397,92.3,0.637,0.623064398765564,0.9781230749851867,False
poppin_party__398,95.7,0.681,0.6104589700698853,0.8964155213948388,False
poppin_party__399,95.7,0.628,0.5554976463317871,0.8845503922480686,False
poppin_party__402,97.5,0.64,0.603195309638977,0.9424926713109016,False
poppin_party__405,92.3,0.779,0.7283885478973389,0.9350302283662887,False
poppin_party__406,92.3,0.672,0.6314801573753357,0.9397026151418685,False
poppin_party__407,94.0,0.676,0.6442326903343201,0.9530069383643788,False
poppin_party__408,87.6,0.729,0.6877240538597107,0.9433800464467911,False
poppin_party__409,101.3,0.683,0.691670835018158,1.012695219645912,False
poppin_party__410,110.0,0.607,0.6454921960830688,1.0634138320973128,False
poppin_party__411,87.6,0.727,0.6742867827415466,0.9274921358205593,False
poppin_party__412,90.7,0.676,0.6876622438430786,1.017251840004554,False
poppin_party__416,90.7,0.676,0.6072691679000854,0.8983271714498304,False
poppin_party__417,92.3,0.675,0.6205376386642456,0.9193150202433268,False
poppin_party__418,105.5,0.62,0.5790663361549377,0.9339779615402222,False
poppin_party__419,92.3,0.612,0.5641831755638123,0.9218679339277979,False
poppin_party__420,87.6,0.622,0.6096202731132507,0.9800969021113356,False
poppin_party__422,89.1,0.669,0.5784792304039001,0.8646924221284008,False
poppin_party__424,95.7,0.598,0.5285125970840454,0.8838003295719823,False
poppin_party__427,95.7,0.71,0.6313033699989319,0.8891596760548337,False
poppin_party__428,99.4,0.647,0.6513082385063171,1.006658792127229,False
poppin_party__429,87.6,0.681,0.6776502728462219,0.9950811642382112,False
poppin_party__432,94.0,0.761,0.738152265548706,0.9699766958590093,False
poppin_party__434,95.7,0.676,0.6227806210517883,0.9212731080647756,False
poppin_party__436,89.1,0.587,0.5825766324996948,0.9924644505957323,False
poppin_party__437,95.7,0.661,0.6437066197395325,0.9738375487738766,False
poppin_party__438,95.7,0.628,0.6008294820785522,0.9567348440741278,False
poppin_party__440,92.3,0.637,0.5756892561912537,0.9037507946487499,False
poppin_party__443,90.7,0.629,0.6033270955085754,0.9591845715557638,False
poppin_party__444,90.7,0.603,0.5976521968841553,0.9911313381163438,False
poppin_party__446,95.7,0.763,0.7214940190315247,0.945601597682208,False
poppin_party__447,89.1,0.631,0.6450504660606384,1.0222669826634523,False
poppin_party__448,92.3,0.701,0.6521185040473938,0.9302689073429299,False
poppin_party__449,95.7,0.648,0.6505491137504578,1.0039338175161385,False
poppin_party__450,105.5,0.612,0.6136887073516846,1.0027593257380467,False
poppin_party__451,97.5,0.679,0.6345928311347961,0.934599162201467,False
poppin_party__453,99.4,0.584,0.596351146697998,1.0211492237979418,False
poppin_party__454,94.0,0.687,0.646120011806488,0.9404949225713071,False
poppin_party__457,184.6,0.739,0.6864805221557617,0.9289316943920998,False
poppin_party__458,97.5,0.7,0.6685393452644348,0.9550562075206213,False
poppin_party__461,94.0,0.566,0.5633397102355957,0.9952998414056462,False
poppin_party__462,95.7,0.679,0.6094480752944946,0.8975671211995502,False
poppin_party__465,95.7,0.444,0.4376163184642792,0.9856223388835117,False
poppin_party__466,95.7,0.743,0.6747837662696838,0.9081881107263577,False
poppin_party__469,95.7,0.743,0.7110962867736816,0.9570609512431786,False
poppin_party__484,86.1,0.599,0.587734580039978,0.9811929549916161,False
poppin_party__485,95.7,0.734,0.6867724061012268,0.935657229020745,False
poppin_party__488,87.6,0.693,0.5989692807197571,0.8643135363921459,False
poppin_party__489,87.6,0.596,0.5472689867019653,0.9182365548690694,False
raise_a_suilen__490,99.4,0.703,0.6154994964599609,0.8755327118918363,False
raise_a_suilen__492,95.7,0.67,0.6659467220306396,0.9939503313890143,False
raise_a_suilen__494,99.4,0.675,0.5999827980995178,0.8888634045918782,False
raise_a_suilen__495,87.6,0.783,0.7338959574699402,0.9372873020050322,False
raise_a_suilen__496,92.3,0.617,0.6817697882652283,1.1049753456486682,False
raise_a_suilen__497,105.5,0.645,0.6608081459999084,1.0245087534882302,False
raise_a_suilen__499,90.7,0.668,0.693242609500885,1.0377883375761752,False
raise_a_suilen__500,95.7,0.673,0.6221306324005127,0.9244140154539564,False
raise_a_suilen__502,172.3,0.721,0.6574239134788513,0.9118223487917494,False
raise_a_suilen__503,94.0,0.68,0.6488264203071594,0.954156500451705,False
raise_a_suilen__508,94.0,0.629,0.5903876423835754,0.9386131039484507,False
raise_a_suilen__509,94.0,0.762,0.7525959610939026,0.987658741593048,False
raise_a_suilen__510,99.4,0.699,0.6522579789161682,0.933130155817122,False
raise_a_suilen__513,103.4,0.556,0.4909258782863617,0.8829602127452547,False
raise_a_suilen__516,90.7,0.606,0.5981934070587158,0.9871178334302242,False
raise_a_suilen__517,87.6,0.617,0.6177150011062622,1.0011588348561786,False
raise_a_suilen__518,87.6,0.706,0.6668965816497803,0.9446127218835415,False
raise_a_suilen__520,90.7,0.658,0.6168337464332581,0.9374373046098147,False
raise_a_suilen__521,86.1,0.62,0.6370046138763428,1.0274267965747463,False
raise_a_suilen__523,90.7,0.661,0.6049033403396606,0.9151336465047816,False
raise_a_suilen__524,107.7,0.591,0.605026364326477,1.0237332729720425,False
raise_a_suilen__526,90.7,0.608,0.5968999862670898,0.9817433984656083,False
raise_a_suilen__529,99.4,0.541,0.6289418339729309,1.1625542217614249,False
raise_a_suilen__530,90.7,0.596,0.5379994511604309,0.9026836428866291,False
raise_a_suilen__532,92.3,0.663,0.6865664720535278,1.0355452067172366,False
raise_a_suilen__534,99.4,0.666,0.6428762674331665,0.9652796808305802,False
raise_a_suilen__535,97.5,0.67,0.6470302939414978,0.9657168566291011,False
raise_a_suilen__536,95.7,0.569,0.6155334115028381,1.081781039548046,False
raise_a_suilen__537,95.7,0.674,0.6052832007408142,0.8980462919003177,False
raise_a_suilen__538,95.7,0.665,0.6121918559074402,0.9205892570036694,False
raise_a_suilen__539,92.3,0.61,0.6691845655441284,1.097023877941194,False
raise_a_suilen__540,101.3,0.713,0.6631383299827576,0.9300677839870373,False
raise_a_suilen__541,95.7,0.519,0.434177428483963,0.8365653728014701,False
raise_a_suilen__542,99.4,0.737,0.684049129486084,0.9281534999811181,False
raise_a_suilen__545,101.3,0.5,0.4625288248062134,0.9250576496124268,False
raise_a_suilen__547,90.7,0.624,0.6236506104469299,0.999440080844439,False
raise_a_suilen__548,97.5,0.648,0.6272549033164978,0.9679859619081755,False
raise_a_suilen__550,87.6,0.74,0.6572203636169434,0.8881356265093829,False
raise_a_suilen__555,94.0,0.572,0.5168803334236145,0.9036369465447807,False
raise_a_suilen__560,95.7,0.695,0.6514360904693604,0.9373181157832524,False
raise_a_suilen__563,99.4,0.574,0.522914707660675,0.911001232858319,False
raise_a_suilen__566,95.7,0.693,0.6636298894882202,0.95761888815039,False
raise_a_suilen__568,99.4,0.506,0.538419246673584,1.0640696574576758,False
raise_a_suilen__569,92.3,0.702,0.6968386769294739,0.9926476879337235,False
roselia__571,92.3,0.67,0.6583772301673889,0.9826525823393863,False
roselia__574,95.7,0.695,0.5973947644233704,0.8595608121199574,False
roselia__577,90.7,0.736,0.7129419445991516,0.968671120379282,False
roselia__578,95.7,0.679,0.6280366778373718,0.9249435608797817,False
roselia__579,94.0,0.705,0.686866819858551,0.9742791771043278,False
roselia__581,97.5,0.678,0.6586030125617981,0.9713908739849528,False
roselia__582,94.0,0.744,0.7499873638153076,1.0080475320098221,False
roselia__583,95.7,0.661,0.6466123461723328,0.9782335040428635,False
roselia__585,90.7,0.604,0.5914430618286133,0.979210367265916,False
roselia__587,103.4,0.614,0.5798618793487549,0.9444004549653988,False
roselia__591,95.7,0.661,0.6045718789100647,0.9146321919970721,False
roselia__593,92.3,0.719,0.6872822642326355,0.9558863202122886,False
roselia__594,99.4,0.749,0.7552893757820129,1.0083970304165726,False
roselia__595,172.3,0.704,0.6689058542251587,0.9501503611152823,False
roselia__597,95.7,0.698,0.6177740693092346,0.8850631365461814,False
roselia__599,89.1,0.76,0.7516302466392517,0.9889871666305944,False
roselia__600,87.6,0.723,0.7737102508544922,1.0701386595497817,False
roselia__602,92.3,0.662,0.6702427268028259,1.0124512489468669,False
roselia__605,90.7,0.67,0.6555204391479492,0.9783887151461929,False
roselia__606,95.7,0.67,0.6540250182151794,0.9761567436047454,False
roselia__608,92.3,0.655,0.5714266300201416,0.8724070687330405,False
roselia__609,95.7,0.701,0.666286051273346,0.9504793884070556,False
roselia__610,95.7,0.74,0.6366022229194641,0.860273274215492,False
roselia__611,95.7,0.693,0.6154285073280334,0.8880642241385764,False
roselia__614,97.5,0.79,0.7596141695976257,0.9615369235412984,False
roselia__617,92.3,0.715,0.6785731315612793,0.9490533308549362,False
roselia__619,99.4,0.658,0.6919867396354675,1.0516515799931117,False
roselia__620,172.3,0.798,0.7358478903770447,0.9221151508484269,False
roselia__621,89.1,0.646,0.684344470500946,1.0593567654813405,False
roselia__622,97.5,0.773,0.7139149308204651,0.9235639467276392,False
roselia__623,94.0,0.809,0.743071436882019,0.9185061024499617,False
roselia__625,99.4,0.651,0.6287503838539124,0.9658224022333523,False
roselia__626,97.5,0.708,0.7049651145935059,0.9957134386913925,False
roselia__627,97.5,0.732,0.7141169309616089,0.9755695778164056,False
roselia__630,95.7,0.669,0.5532359480857849,0.8269595636558817,False
roselia__631,95.7,0.709,0.595394492149353,0.8397665615646729,False
roselia__632,97.5,0.735,0.755124568939209,1.0273803659036858,False
roselia__634,92.3,0.706,0.5897553563117981,0.835347530186683,False
roselia__635,99.4,0.755,0.6945745944976807,0.9199663503280539,False
roselia__637,90.7,0.705,0.6901259422302246,0.9789020457166308,False
roselia__638,178.2,0.421,0.3656609356403351,0.8685532913072093,False
roselia__642,92.3,0.701,0.5978078246116638,0.8527929024417459,False
roselia__644,97.5,0.707,0.6667415499687195,0.9430573549769724,False
roselia__650,87.6,0.806,0.820425808429718,1.0178980253470447,False
roselia__651,103.4,0.622,0.5444274544715881,0.8752852965781159,False
roselia__654,101.3,0.596,0.6010518074035645,1.0084761869187324,False
roselia__655,103.4,0.695,0.6833592653274536,0.9832507414783506,False
mygo__661,95.7,0.625,0.5798518061637878,0.9277628898620606,False
mygo__662,90.7,0.665,0.5741267204284668,0.8633484517721305,False
