gems_item,candidate,tier,n,rho,p,q_bh,pass
wonder,mfcc_13_mean,Tier1,35,0.42464125013666987,0.011003459612732086,0.08871743915225756,False
power,mfcc_3_mean,Tier1,35,-0.4089701024023527,0.014712595057956539,0.2501141159852612,False
joyful_activation,mfcc_11_mean,Tier1,35,0.40664661015134745,0.015343053036090605,0.03260398770169254,True
peacefulness,mfcc_6_mean,Tier1,35,-0.40072082084655897,0.017054348029504392,0.036240489562696834,True
wonder,mfcc_3_mean,Tier1,35,-0.39441821409332317,0.01904681347056876,0.08871743915225756,False
sadness,mfcc_2_mean,Tier1,35,0.392480642665178,0.019696985713280483,0.1771219672812099,False
joyful_activation,energy_full,Tier1,35,0.39132073288433694,0.020094972122152863,0.03795716956406652,False
wonder,mfcc_11_mean,Tier1,35,0.38910260473896574,0.020874691565237073,0.08871743915225756,False
peacefulness,mfcc_5_mean,Tier1,35,-0.38380727970693146,0.02283821072159716,0.04313884247412797,False
sadness,mfcc_6_mean,Tier1,35,-0.3823193315282155,0.023416682643175916,0.1771219672812099,False
tenderness,mfcc_1_mean,Tier1,35,-0.374840585423823,0.026510852180069083,0.1126711217652936,False
nostalgia,energy_full,Tier1,35,-0.3708911726947544,0.028276075957388565,0.0600866614094507,False
transcendence,mfcc_5_mean,Tier1,35,0.36914271601319376,0.029087819730717612,0.27455564286597367,False
tension,mfcc_8_mean,Tier1,35,0.3571655346825191,0.03517697106867724,0.11960170163350262,False
tenderness,mfcc_8_mean,Tier1,35,-0.35680012944085826,0.03537789643041197,0.11742006983541298,False
sadness,mfcc_1_mean,Tier1,35,-0.35596343076671894,0.03584148983710707,0.1771219672812099,False
tenderness,mfcc_10_mean,Tier1,35,-0.3464912974505926,0.041442377588969286,0.11742006983541298,False
sadness,mfcc_10_mean,Tier1,35,-0.3461196606027864,0.04167575700734351,0.1771219672812099,False
peacefulness,rms_mean,Tier1,35,-0.34607707254930087,0.04170256894005414,0.07089436719809203,False
joyful_activation,mfcc_13_mean,Tier1,35,0.3408183182711401,0.045121870131696565,0.07670717922388416,False
tenderness,mfcc_2_mean,Tier1,35,0.33532339612780493,0.04893187844617286,0.11883456194070552,False
tension,mfcc_1_mean,Tier1,35,0.33458268889560444,0.04946458567538016,0.14014965941357713,False
transcendence,mfcc_3_mean,Tier1,35,-0.3316600598720289,0.05161192573201886,0.27455564286597367,False
nostalgia,mfcc_6_mean,Tier1,35,-0.3269736892246045,0.055209753694186285,0.10428509031124075,False
transcendence,mfcc_13_mean,Tier1,35,0.32228939583673766,0.05900238543187096,0.27455564286597367,False
tension,mfcc_3_mean,Tier1,35,-0.32106269569422785,0.06002889199133701,0.1457844519789613,False
joyful_activation,mfcc_12_mean,Tier1,35,0.31979997230495416,0.06110023874443974,0.09442764169595233,False
wonder,energy_full,Tier1,35,-0.3189365612614473,0.06184144422474708,0.21026091036414005,False
nostalgia,rms_mean,Tier1,35,-0.3101945842443147,0.06975219341418354,0.11857872880411202,False
transcendence,energy_full,Tier1,35,-0.30600594685737914,0.07381295464323448,0.27455564286597367,False
sadness,contrast_mean,Tier1,35,0.30325162924372573,0.07658204718322982,0.2603789604229814,False
transcendence,mfcc_11_mean,Tier1,35,0.29924677935651334,0.08075165966646285,0.27455564286597367,False
tenderness,rms_mean,Tier1,35,-0.29723798905265714,0.08290822097322434,0.16868024045795954,False
tenderness,mfcc_6_mean,Tier1,35,-0.2915108601691763,0.08930130377186093,0.16868024045795954,False
peacefulness,mfcc_9_mean,Tier1,35,-0.28579547720550036,0.09605211388617803,0.13857800112657653,False
peacefulness,mfcc_12_mean,Tier1,35,-0.28434987539869455,0.09781976550111285,0.13857800112657653,False
joyful_activation,mfcc_5_mean,Tier1,35,0.2767415552214483,0.10753429515477683,0.1523402514692672,False
power,mfcc_9_mean,Tier1,35,0.276346940623304,0.10805732001666665,0.46017094701311245,False
sadness,energy_full,Tier1,35,-0.27594310556313895,0.10859455133125355,0.3076845621052184,False
power,mfcc_11_mean,Tier1,35,0.2709426928415586,0.11541474445702761,0.46017094701311245,False
tension,rms_mean,Tier1,35,0.2558398713491256,0.13796406622179597,0.2931736407213164,False
power,energy_full,Tier1,35,-0.2491796409637191,0.1488763487528431,0.46017094701311245,False
sadness,rms_mean,Tier1,35,-0.24641179507134153,0.15359135713420444,0.3730075816116393,False
tenderness,mfcc_3_mean,Tier1,35,0.24454840332463318,0.15682602350366728,0.2666042399562344,False
joyful_activation,mfcc_7_mean,Tier1,35,0.24375442891340643,0.15821914468759393,0.20690195843762282,False
power,mfcc_7_mean,Tier1,35,0.23968569215795024,0.16549862702680573,0.46017094701311245,False
power,mfcc_10_mean,Tier1,35,0.2385172061510864,0.16763291342033151,0.46017094701311245,False
peacefulness,mfcc_3_mean,Tier1,35,0.2350548537866179,0.17407264122476343,0.227633453909306,False
transcendence,mode_score,Tier2,35,-0.2342666008822807,0.17556302658893366,0.3511260531778673,False
tension,mfcc_6_mean,Tier1,35,0.23385131097765605,0.17635187445127035,0.3143827823163211,False
wonder,mode_score,Tier2,35,-0.2294824495552604,0.1848036248085054,0.3696072496170108,False
power,mfcc_5_mean,Tier1,35,0.2271244675841637,0.18948215465245807,0.46017094701311245,False
tension,mfcc_5_mean,Tier1,35,0.22582845786914685,0.19208875165310454,0.3143827823163211,False
power,mode_score,Tier2,35,-0.22274264505842417,0.19839602122734587,0.3022279642585029,False
sadness,mfcc_8_mean,Tier1,35,-0.22037343528287504,0.20333557726786103,0.4320881016942047,False
tension,mfcc_2_mean,Tier1,35,-0.22033131777627948,0.20342415326350188,0.3143827823163211,False
peacefulness,energy_full,Tier1,35,-0.21655115065950403,0.21148347968011513,0.2568013681829969,False
power,mfcc_13_mean,Tier1,35,0.2139790000069452,0.21709153638101375,0.4613195148096542,False
wonder,mfcc_8_mean,Tier1,35,0.2079162630318673,0.23071122439496722,0.5773879533613996,False
wonder,mfcc_9_mean,Tier1,35,0.2048787719722345,0.23774798079587042,0.5773879533613996,False
nostalgia,mfcc_5_mean,Tier1,35,-0.19638848089974015,0.2581777269179647,0.35537080549684535,False
nostalgia,mfcc_12_mean,Tier1,35,-0.19522123881415476,0.26107444173985417,0.35537080549684535,False
power,mfcc_12_mean,Tier1,35,0.19411473789025951,0.26384013008810625,0.49836469016642293,False
transcendence,mfcc_4_mean,Tier1,35,-0.19125371678586198,0.27108027414827507,0.6611992992936413,False
nostalgia,mfcc_3_mean,Tier1,35,0.19098998625390776,0.2717541453799406,0.35537080549684535,False
transcendence,mfcc_2_mean,Tier1,35,0.19079286445625748,0.2722585350032641,0.6611992992936413,False
tenderness,energy_full,Tier1,35,-0.1895679660432168,0.27540645899981153,0.42562816390879965,False
sadness,mfcc_12_mean,Tier1,35,-0.18480884630350616,0.2878611388760601,0.5437377067658913,False
power,bpm,Tier1,35,-0.17948073287082397,0.3022279642585029,0.5137875392394549,False
power,tempo_bpm,Tier2,35,-0.17948073287082397,0.3022279642585029,0.3022279642585029,False
tenderness,mfcc_5_mean,Tier1,35,-0.17840006472042913,0.3051964230516971,0.43236159932323753,False
joyful_activation,mfcc_9_mean,Tier1,35,0.17807209776907534,0.3061009426888188,0.3716940018364228,False
peacefulness,mfcc_7_mean,Tier1,35,-0.17405045753941448,0.3173300534385781,0.35964072723038853,False
wonder,contrast_mean,Tier1,35,-0.1710107466573284,0.3259860901905032,0.6927204416548193,False
tenderness,mfcc_12_mean,Tier1,35,-0.1606459651816384,0.35658824404051426,0.4663077037452879,False
tension,mfcc_9_mean,Tier1,35,0.1512456382307839,0.38578316471373586,0.5044856769333469,False
tension,mfcc_12_mean,Tier1,35,0.1512456382307839,0.38578316471373586,0.5044856769333469,False
sadness,bpm,Tier1,35,-0.14520450770448548,0.40525794007685967,0.6889384981306614,False
sadness,tempo_bpm,Tier2,35,-0.14520450770448548,0.40525794007685967,0.549122275871471,False
tension,energy_full,Tier1,35,0.1332685044135689,0.4453396684530737,0.5407695974073038,False
sadness,mfcc_3_mean,Tier1,35,-0.13146196283445283,0.45158806117767814,0.697908821820048,False
power,mfcc_6_mean,Tier1,35,-0.1311625542704688,0.4526281908862164,0.6995162950059708,False
joyful_activation,mfcc_4_mean,Tier1,35,0.12815352609938374,0.4631527357652886,0.524906433867327,False
transcendence,contrast_mean,Tier1,35,-0.12596630342522636,0.4708837473232642,0.8987618656740498,False
wonder,mfcc_2_mean,Tier1,35,0.12058839506742342,0.49017785783679735,0.788775811765203,False
tenderness,mfcc_9_mean,Tier1,35,-0.11511529055796549,0.5102216850211079,0.6195549032399167,False
wonder,rms_mean,Tier1,35,0.11360216563026788,0.515834307504581,0.788775811765203,False
transcendence,mfcc_12_mean,Tier1,35,-0.11167988120748727,0.5230084036768123,0.8987618656740498,False
wonder,mfcc_4_mean,Tier1,35,-0.11026092546467177,0.5283351930955876,0.788775811765203,False
nostalgia,mfcc_4_mean,Tier1,35,0.11001256656642204,0.5292702397415747,0.6426852911147692,False
tension,bpm,Tier1,35,-0.10774374130681191,0.5378491238071879,0.6095623403148129,False
tension,tempo_bpm,Tier2,35,-0.10774374130681191,0.5378491238071879,0.5378491238071879,False
sadness,mode_score,Tier2,35,-0.10478852109992617,0.549122275871471,0.549122275871471,False
wonder,bpm,Tier1,35,-0.10279660231113892,0.556782925951908,0.788775811765203,False
wonder,tempo_bpm,Tier2,35,-0.10279660231113892,0.556782925951908,0.556782925951908,False
transcendence,bpm,Tier1,35,-0.10242901503868052,0.5582020252394788,0.8987618656740498,False
transcendence,tempo_bpm,Tier2,35,-0.10242901503868052,0.5582020252394788,0.5582020252394788,False
nostalgia,mfcc_7_mean,Tier1,35,-0.10009100883894632,0.5672671108645913,0.6429027256465367,False
tension,mfcc_7_mean,Tier1,35,0.0983542362561679,0.574044269522763,0.6099220363679356,False
sadness,mfcc_9_mean,Tier1,35,-0.09748507872023435,0.5774495289715962,0.818053499376428,False
transcendence,mfcc_9_mean,Tier1,35,0.08863726472726294,0.6126184065815541,0.8987618656740498,False
joyful_activation,mode_score,Tier2,35,-0.08392742312886747,0.6316994601457622,0.7997506877882412,False
transcendence,mfcc_8_mean,Tier1,35,0.08326065421521059,0.6344201404757999,0.8987618656740498,False
power,mfcc_2_mean,Tier1,35,0.07259219317641759,0.6785725202550695,0.8651561456478123,False
power,mfcc_4_mean,Tier1,35,0.07186188942212768,0.6816359076895865,0.8651561456478123,False
wonder,mfcc_10_mean,Tier1,35,0.06834354884173871,0.6964636908666755,0.905692289979566,False
tenderness,mfcc_4_mean,Tier1,35,-0.060707566164897225,0.7290216968846206,0.82622458980257,False
nostalgia,mfcc_9_mean,Tier1,35,-0.06011296740764706,0.731577457274952,0.7474609788149006,False
wonder,mfcc_7_mean,Tier1,35,0.05680108281513394,0.7458642388067014,0.905692289979566,False
nostalgia,bpm,Tier1,35,-0.05643215691460867,0.7474609788149006,0.7474609788149006,False
nostalgia,tempo_bpm,Tier2,35,-0.05643215691460867,0.7474609788149006,0.7474609788149006,False
power,contrast_mean,Tier1,35,-0.05024489829514618,0.7743891806996351,0.8651561456478123,False
sadness,mfcc_5_mean,Tier1,35,-0.05017147373875254,0.77471036771804,0.9751674140762996,False
power,rms_mean,Tier1,35,0.04732368327798652,0.7871955756477982,0.8651561456478123,False
transcendence,rms_mean,Tier1,35,0.0448562934148367,0.7980555051175435,0.9221605948082257,False
transcendence,mfcc_6_mean,Tier1,35,-0.04454905852843371,0.7994104217129465,0.9221605948082257,False
joyful_activation,bpm,Tier1,35,0.04447192185160296,0.7997506877882412,0.8497351057750063,False
joyful_activation,tempo_bpm,Tier2,35,0.04447192185160296,0.7997506877882412,0.7997506877882412,False
transcendence,mfcc_1_mean,Tier1,35,-0.041323092221202305,0.8136711130660814,0.9221605948082257,False
power,mfcc_8_mean,Tier1,35,0.04118913174195123,0.8142646076685293,0.8651561456478123,False
tension,mfcc_4_mean,Tier1,35,0.03743998117304277,0.8309148354079914,0.8309148354079914,False
peacefulness,bpm,Tier1,35,-0.03465374011245471,0.8433362024423293,0.8960447150949749,False
peacefulness,tempo_bpm,Tier2,35,-0.03465374011245471,0.8433362024423293,0.8433362024423293,False
tenderness,mfcc_7_mean,Tier1,35,-0.031499208859144784,0.8574442893849663,0.9110345574715267,False
transcendence,mfcc_7_mean,Tier1,35,-0.02657581767385873,0.8795487639918612,0.9345205617413526,False
joyful_activation,mfcc_3_mean,Tier1,35,0.024667364363093226,0.8881421924352798,0.8881421924352798,False
sadness,mfcc_11_mean,Tier1,35,-0.024450654923316106,0.8891188085681131,0.9751674140762996,False
sadness,mfcc_13_mean,Tier1,35,0.02381557297725595,0.89198176879949,0.9751674140762996,False
wonder,mfcc_1_mean,Tier1,35,0.023692430265136084,0.8925370548402588,0.9475304723491588,False
wonder,mfcc_6_mean,Tier1,35,-0.022781182947246237,0.8966476768628517,0.9475304723491588,False
sadness,mfcc_7_mean,Tier1,35,-0.01809983546271452,0.9178046250129879,0.9751674140762996,False
transcendence,mfcc_10_mean,Tier1,35,-0.013671952444933104,0.9378675218394157,0.9378675218394157,False
tenderness,bpm,Tier1,35,-0.012258021129548914,0.9442826156555806,0.9442826156555806,False
tenderness,tempo_bpm,Tier2,35,-0.012258021129548914,0.9442826156555806,0.9442826156555806,False
wonder,mfcc_12_mean,Tier1,35,-0.01154246602660476,0.9475304723491589,0.9475304723491588,False
power,mfcc_1_mean,Tier1,35,0.008763645051478985,0.9601507734878438,0.9601507734878438,False
peacefulness,mfcc_4_mean,Tier1,35,0.0001445601806805768,0.9993424086979448,0.9993424086979448,False
sadness,mfcc_4_mean,Tier1,35,0.0,1.0,1.0,False
wonder,jitter_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,shimmer_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,hnr_mean,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,f0_median_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,f0_range_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,f0_std_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
wonder,vocal_centroid,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,jitter_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,shimmer_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,hnr_mean,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,f0_median_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,f0_range_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,f0_std_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
transcendence,vocal_centroid,"Vocal(참고, n작음)",3,nan,nan,nan,False
peacefulness,f0_std_st,"Vocal(참고, n작음)",3,0.0,1.0,1.0,False
joyful_activation,f0_std_st,"Vocal(참고, n작음)",3,0.0,1.0,1.0,False
sadness,jitter_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,shimmer_local,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,hnr_mean,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,f0_median_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,f0_range_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,f0_std_st,"Vocal(참고, n작음)",3,nan,nan,nan,False
sadness,vocal_centroid,"Vocal(참고, n작음)",3,nan,nan,nan,False
