idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag
52,afterglow,CHAINSAW BLOOD (Cover),202.68,,16.02,,146.34146341463537,497,0.41,False
53,afterglow,チルドレンレコード (Re:boot) (Cover),189.42,,14.66,,206.89655172413347,584,0.29,False
54,afterglow,青のすみか (Cover),197.15,,15.36,,153.846153846148,503,0.39,False
55,afterglow,GO!!! (Cover),239.34,,18.92,,133.3333333333367,535,0.45,False
56,afterglow,天ノ弱 (Cover),187.52,,15.42,,200.0000000000019,625,0.3,False
57,afterglow,アスノヨゾラ哨戒班 (Cover),191.76,,15.38,,187.49999999999568,592,0.32,False
58,afterglow,瞬間センチメンタル (Cover),230.69,,18.52,,166.66666666666694,648,0.36,False
59,afterglow,プライド革命 (Cover),238.25,,18.54,,187.49999999999568,735,0.32,False
60,afterglow,命に嫌われている。 (Cover),273.82,,21.67,,199.99999999999952,821,0.3,False
61,afterglow,Redo (Cover),261.28,,20.57,,187.500000000004,755,0.32,False
62,afterglow,インフェルノ (Cover),214.04,,16.52,,187.49999999999568,661,0.32,False
63,afterglow,ドラマツルギー (Cover),238.23,,18.72,,150.0000000000032,704,0.4,True
64,afterglow,COLORS (Cover),218.32,,17.15,,136.36363636363706,495,0.44,False
65,afterglow,午夜の待ち合わせ (Cover),171.24,,13.34,,187.500000000004,542,0.32,False
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.43,,15.06,,113.20754716981108,360,0.53,False
67,afterglow,ベノム (Cover),198.07,,15.67,,153.846153846148,502,0.39,False
68,afterglow,Don't say “lazy” (Cover),275.52,,21.33,,181.81818181818275,833,0.33,False
69,afterglow,Part of the Life,88.46,,7.04,,187.49999999999983,273,0.32,False
70,afterglow,Punchline Halloween!!!,233.89,,17.91,,181.81818181817493,702,0.33,False
71,afterglow,I love your way！,263.4,,19.99,,260.86956521738676,1117,0.23,False
72,ave_mujica,KiLLKiSS,208.53,,15.79,,199.99999999999716,663,0.3,False
73,ave_mujica,"Georgette Me, Georgette You",234.22,,17.82,,142.85714285714226,554,0.42,False
74,ave_mujica,Imprisoned XII,191.57,,14.43,,105.26315789473679,335,0.57,False
75,ave_mujica,Crucifix X,298.51,,23.21,,103.44827586206674,504,0.58,False
76,ave_mujica,八芒星ダンス,231.17,,17.75,,115.38461538461311,455,0.52,False
77,ave_mujica,顔,241.73,,18.76,,139.53488372093034,565,0.43,False
78,ave_mujica,天球のMúsica,279.9,,21.68,,98.36065573770271,455,0.61,False
79,ave_mujica,黒のバースデイ,233.96,,17.87,,199.9999999999924,751,0.3,False
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.68,,23.2,,181.81818181817493,916,0.33,False
81,ave_mujica,Choir ‘S’ Choir,287.66,,22.34,,149.99999999999787,733,0.4,False
82,ave_mujica,神さま、バカ,223.67,,17.23,,181.81818181817493,672,0.33,False
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.65,,18.99,,187.500000000004,744,0.32,False
84,ave_mujica,Ave Mujica,277.68,,21.26,,113.2075471698126,644,0.53,True
85,ave_mujica,Symbol I : △,311.71,,23.49,,117.64705882353151,614,0.51,False
86,ave_mujica,Symbol II : Air,212.59,,16.34,,199.9999999999924,699,0.3,False
87,ave_mujica,Symbol III : ▽,256.43,,19.54,,95.23809523809592,406,0.63,False
88,ave_mujica,Symbol IV : Earth,238.85,,18.29,,146.34146341463537,588,0.41,False
89,ave_mujica,Ether,285.32,,21.84,,187.49999999999983,858,0.32,False
90,ave_mujica,The Whole Blue World,257.0,,19.75,,200.0000000000001,856,0.3,False
91,ave_mujica,in your blue eyes,222.29,,16.97,,146.34146341463028,528,0.41,False
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.02,,20.61,,100.00000000000095,449,0.6,False
93,ave_mujica,Angles,274.19,,20.75,,98.36065573770271,442,0.61,False
94,ave_mujica,DIVINE,257.21,,19.96,,230.76923076923254,811,0.26,False
95,ave_mujica,Sophie,196.74,,15.33,,199.99999999999952,565,0.3,False
96,ave_mujica,‘S/’ The Way,227.15,,16.8,,157.89473684210716,666,0.38,False
97,ave_mujica,碧い瞳の中に,223.61,,17.36,,146.34146341462522,536,0.41,False
98,ave_mujica,堕天 (Cover),183.15,,14.02,,206.89655172413347,510,0.29,False
99,ave_mujica,KINGS (Cover),317.34,,24.32,,176.47058823529235,933,0.34,False
100,ave_mujica,暗黒天国 (Cover),264.71,,20.71,,95.23809523809592,419,0.63,False
101,various_artists,Don't be afraid!,238.52,,17.91,,181.81818181818178,721,0.33,False
102,various_artists,Glee! Glee! Glee!,211.68,,16.42,,181.81818181817493,636,0.33,False
103,various_artists,"Be shine, shining!",95.86,,7.69,,115.38461538461627,187,0.52,False
104,various_artists,"Here, the world",262.97,,20.61,,122.44897959183801,540,0.49,False
105,various_artists,CiRCLE THANKS MUSiC♪,313.36,,24.06,,122.44897959183801,643,0.49,False
106,hello_happy_world,キミがいなくちゃっ！,243.55,,18.53,,124.99999999999896,504,0.48,False
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.28,,21.83,,199.9999999999924,899,0.3,False
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.96,,20.86,,150.00000000000054,682,0.4,False
109,hello_happy_world,えがお･シング･あ･ソング,248.72,,19.01,,149.99999999999787,620,0.4,False
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.02,,18.03,,171.4285714285742,675,0.35,False
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.06,,18.06,,187.500000000004,738,0.32,False
112,hello_happy_world,ないすみちゅっ！,256.89,,19.9,,176.47058823529235,748,0.34,False
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.36,,16.85,,214.28571428571342,758,0.28,False
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.36,,18.48,,181.81818181817493,717,0.33,False
115,hello_happy_world,えがおのオーケストラっ！,229.75,,17.79,,139.534883720928,529,0.43,False
116,hello_happy_world,にこにこねくと！,250.46,,19.21,,166.66666666666694,700,0.36,False
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.03,,20.05,,125.00000000000267,513,0.48,False
118,hello_happy_world,せかいのっびのびトレジャー！,212.44,,16.47,,193.54838709677279,656,0.31,False
119,hello_happy_world,きらっ☆と キミフェス！,230.75,,17.71,,127.65957446808541,493,0.47,False
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.46,,17.31,,193.54838709677279,695,0.31,False
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,255.87,,20.28,,115.38461538461311,489,0.52,False
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,291.53,,22.06,,130.43478260869338,632,0.46,False
123,hello_happy_world,Happy! Happier! Happiest!,242.61,,19.0,,171.4285714285742,697,0.35,False
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,223.79,,17.3,,181.8181818181906,687,0.33,False
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,232.9,,18.11,,162.16216216216017,623,0.37,False
126,hello_happy_world,おもいでイルミネーション,252.41,,19.91,,166.66666666666035,696,0.36,False
127,hello_happy_world,おもいやりハーモニー,231.03,,17.98,,136.36363636363046,519,0.44,False
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.42,,16.06,,181.8181818181906,646,0.33,False
129,hello_happy_world,えがお、あーゆーれでぃ???,225.84,,17.6,,139.534883720928,520,0.43,False
130,hello_happy_world,ハッピーサマーウェディング,284.19,,22.41,,127.65957446808541,607,0.47,False
131,hello_happy_world,ひまわりの約束,307.01,,23.65,,78.94736842105358,483,0.76,True
132,hello_happy_world,ハッピー☆マテリアル,224.76,,17.58,,162.16216216216228,613,0.37,False
133,hello_happy_world,太陽曰く燃えよカオス,238.72,,17.61,,142.85714285714226,567,0.42,False
134,hello_happy_world,エクストラ・マジック・アワー,255.02,,19.41,,181.81818181817493,767,0.33,False
135,hello_happy_world,コレカラ,214.65,,16.52,,162.16216216216017,582,0.37,False
136,hello_happy_world,全力少年,241.33,,18.01,,133.3333333333367,539,0.45,False
137,hello_happy_world,オレンジ,277.92,,20.9,,139.53488372093034,648,0.43,False
138,hello_happy_world,Happy Girl,237.71,,19.03,,146.3414634146341,575,0.41,False
139,hello_happy_world,ン・パカマーチ,155.68,,11.95,,117.64705882352823,305,0.51,False
140,hello_happy_world,サンバロハッピ〜！,216.02,,16.67,,127.65957446808638,465,0.47,False
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,206.49,,15.78,,176.4705882352942,614,0.34,False
142,hello_happy_world,むすんでわらって,241.5,,19.01,,130.43478260869338,524,0.46,False
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,234.57,,18.48,,157.89473684210716,616,0.38,False
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,237.23,,18.03,,139.53488372093034,554,0.43,False
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,227.18,,17.7,,149.99999999999787,558,0.4,False
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,212.03,,16.53,,315.7894736842025,825,0.19,True
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,208.21,,15.94,,136.36363636363706,476,0.44,False
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,254.11,,19.81,,166.66666666666035,702,0.36,False
149,hello_happy_world,Listen to Smile!,243.86,,18.79,,127.65957446808541,517,0.47,False
150,hello_happy_world,スマイリーキャロル,246.78,,19.46,,109.09090909091248,454,0.55,False
151,hello_happy_world,えがお、み〜っけた！,270.19,,21.16,,142.85714285714226,642,0.42,False
152,hello_happy_world,上海ハニー (Cover),177.98,,14.21,,130.4347826086954,386,0.46,False
153,hello_happy_world,シル・ヴ・プレジデント (Cover),193.34,,15.27,,176.47058823529235,569,0.34,False
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),250.9,,19.76,,200.0000000000001,835,0.3,False
155,hello_happy_world,はいよろこんで (Cover),159.93,,12.26,,146.34146341463537,395,0.41,False
156,hello_happy_world,シカ色デイズ (Cover),201.9,,16.4,,181.81818181818275,616,0.33,False
157,hello_happy_world,強風オールバック (Cover),134.65,,11.14,,136.36363636363487,303,0.44,False
158,hello_happy_world,最高到達点 (Cover),226.31,,17.65,,133.33333333332828,498,0.45,False
159,hello_happy_world,許婚っきゅん (Cover),176.99,,13.89,,146.34146341463537,433,0.41,False
160,hello_happy_world,新宝島 (Cover),250.9,,19.46,,157.89473684210716,662,0.38,False
161,hello_happy_world,ドレミファロンド (Cover),200.16,,15.88,,124.99999999999989,418,0.48,False
162,hello_happy_world,きゅうくらりん (Cover),214.55,,16.59,,222.2222222222138,786,0.27,False
163,hello_happy_world,ロメオ (Cover),319.73,,24.55,,139.534883720928,746,0.43,False
164,hello_happy_world,エイリアンエイリアン (Cover),182.83,,13.87,,153.846153846148,466,0.39,False
165,hello_happy_world,いーあるふぁんくらぶ (Cover),239.2,,18.52,,146.34146341463284,576,0.41,False
166,hello_happy_world,回レ！雪月花 (Cover),234.54,,17.72,,157.89473684210716,627,0.38,False
167,hello_happy_world,恋愛裁判 (Cover),222.69,,16.84,,133.3333333333346,498,0.45,False
168,hello_happy_world,TOMORROW (Cover),274.43,,21.37,,133.3333333333367,613,0.45,False
169,hello_happy_world,GO! GO! MANIAC (Cover),248.63,,19.09,,124.99999999999989,519,0.48,False
170,hello_happy_world,Dragon Night (Cover),228.38,,17.78,,124.99999999999896,473,0.48,False
171,hello_happy_world,ようこそジャパリパークへ (Cover),205.94,,15.65,,171.42857142857073,587,0.35,False
172,hello_happy_world,ウィーアー！ (Cover),240.84,,19.22,,166.66666666666694,675,0.36,False
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),217.01,,16.76,,146.34146341463537,536,0.41,False
174,hello_happy_world,ダーリンダンス (Cover),207.17,,16.37,,153.8461538461536,527,0.39,False
175,hello_happy_world,ノーポイッ！ (Cover),242.76,,19.36,,157.89473684210716,643,0.38,False
176,hello_happy_world,SHINY DAYS (Cover),262.05,,21.46,,109.09090909091248,481,0.55,False
177,hello_happy_world,シルエット (Cover),240.74,,19.48,,181.81818181818275,735,0.33,False
178,ikka_dumb_rock,ホーミー・タイッ！！,215.03,,17.01,,127.65957446808541,459,0.47,False
179,millsage,起死開戦,195.05,,15.49,,171.42857142857073,554,0.35,False
180,morfonica,Daylight -デイライト-,357.01,,28.06,,187.49999999998735,1095,0.32,False
181,morfonica,メランコリックララバイ,215.91,,17.55,,181.81818181818275,652,0.33,False
182,morfonica,flame of hope,252.8,,20.22,,187.500000000004,801,0.32,False
183,morfonica,ブルームブルーム,276.71,,21.3,,181.81818181817493,832,0.33,False
184,morfonica,カラフルリバティー,218.55,,16.63,,187.49999999999568,675,0.32,False
185,morfonica,fly with the night,240.48,,18.13,,171.42857142857073,684,0.35,False
186,morfonica,金色へのプレリュード,270.97,,21.02,,176.47058823529235,792,0.34,False
187,morfonica,The Circle Of Butterflies,258.46,,20.42,,176.47058823529235,751,0.34,False
188,morfonica,ハーモニー・デイ,218.88,,17.09,,181.81818181818275,666,0.33,False
189,morfonica,Sweet Cheers!,223.75,,17.24,,109.09090909091248,410,0.55,False
190,morfonica,"寄る辺のSunny, Sunny",215.73,,16.64,,181.8181818181906,662,0.33,False
191,morfonica,誓いのWingbeat,254.71,,19.96,,206.89655172413347,851,0.29,False
192,morfonica,Ever Sky Blue,240.93,,18.52,,193.54838709677279,648,0.31,False
193,morfonica,Polyphonyscape,250.98,,19.24,,153.8461538461536,637,0.39,False
194,morfonica,Wreath of Brave,262.9,,20.09,,136.36363636363265,592,0.44,False
195,morfonica,Merry Merry Thanks!!,257.26,,19.15,,146.34146341463028,614,0.41,False
196,morfonica,Sonorous,312.79,,23.37,,133.33333333332828,688,0.45,False
197,morfonica,両翼のBrilliance,239.61,,18.14,,171.4285714285742,688,0.35,False
198,morfonica,Steer to Utopia,216.26,,16.4,,193.54838709677279,703,0.31,False
199,morfonica,Fateful...,286.83,,21.88,,133.33333333332828,631,0.45,False
200,morfonica,ティリカモニカリラ,203.62,,15.2,,139.53488372093034,471,0.43,False
201,morfonica,Secret Dawn,238.15,,18.23,,130.4347826086954,512,0.46,False
202,morfonica,Angel's Ladder,253.17,,19.13,,199.9999999999924,836,0.3,False
203,morfonica,One step at a time,263.13,,20.21,,176.47058823529235,711,0.34,False
204,morfonica,Tempest,251.9,,18.62,,200.0000000000019,847,0.3,False
205,morfonica,フレージング ミラージュ,263.35,,20.24,,187.500000000004,825,0.32,False
206,morfonica,MUGEN Reverberate!,230.15,,18.12,,187.500000000004,722,0.32,False
207,morfonica,わたしまちがいさがし,272.78,,21.48,,181.81818181817493,821,0.33,False
208,morfonica,esora no clover,193.6,,15.27,,162.16216216216017,528,0.37,False
209,morfonica,きょうもMerry go rounD,237.6,,19.13,,133.3333333333367,532,0.45,False
210,morfonica,Feathered Dreams,226.14,,17.87,,176.47058823529235,661,0.34,False
211,morfonica,Portray Empathy,253.29,,20.13,,171.4285714285742,727,0.35,False
212,morfonica,ビューティ・フォー,189.03,,14.49,,199.9999999999924,623,0.3,False
213,morfonica,胡蝶翔る星月夜,204.03,,16.42,,100.00000000000006,340,0.6,False
214,morfonica,Color of Us,233.45,,18.42,,193.54838709677279,756,0.31,False
215,morfonica,Resonant Strings,240.1,,18.8,,193.54838709677279,781,0.31,False
216,morfonica,Shining Leaves,217.94,,17.2,,187.49999999999568,673,0.32,False
217,morfonica,音がえしのセレナーデ,301.47,,23.79,,181.8181818181906,823,0.33,False
218,morfonica,蒼穹へのトレイル,218.91,,17.24,,193.54838709677279,701,0.31,False
219,morfonica,QUEEN (Cover),145.5,,11.68,,171.42857142857073,414,0.35,False
220,morfonica,again (Cover),250.79,,19.0,,139.53488372093034,584,0.43,False
221,morfonica,輪舞-revolution (Cover),273.15,,21.21,,127.65957446808541,583,0.47,False
222,morfonica,メロウ (Cover),248.9,,18.75,,146.34146341463284,601,0.41,False
223,morfonica,祝福 (Cover),194.01,,14.66,,171.42857142857073,551,0.35,False
224,morfonica,Overdose (Cover),193.7,,14.99,,117.64705882352987,382,0.51,False
225,morfonica,かくれんぼ (Cover),298.45,,22.87,,181.81818181817493,896,0.33,False
226,morfonica,chAngE (Cover),249.29,,19.13,,166.66666666666035,688,0.36,False
227,morfonica,ALIVE (Cover),215.88,,16.32,,181.81818181817493,645,0.33,False
228,morfonica,Nameless Story (Cover),242.85,,18.33,,193.54838709677279,790,0.31,False
229,morfonica,青空のラプソディ (Cover),277.13,,21.35,,136.3636363636354,625,0.44,False
230,morfonica,Nevereverland (Cover),286.91,,21.92,,200.0000000000019,739,0.3,True
231,morfonica,メリッサ (Cover),256.61,,19.02,,171.42857142857073,729,0.35,False
232,morfonica,COLORFUL BOX (Cover),238.39,,18.23,,162.16216216216017,644,0.37,False
233,morfonica,unravel (Cover),237.13,,18.52,,136.36363636362827,533,0.44,False
234,morfonica,アゲハ蝶 (Cover),280.19,,21.59,,115.38461538461627,542,0.52,False
235,morfonica,V.I.P (Cover),193.32,,15.0,,187.49999999999568,597,0.32,False
236,morfonica,CQCQ (Cover),221.29,,17.07,,142.85714285714712,530,0.42,False
237,mugendai_mutype,アイの夢限,200.19,,15.55,,122.44897959183535,487,0.49,True
238,mugendai_mutype,どんがらがっしゃん,196.08,,15.55,,133.33333333332828,432,0.45,False
239,mugendai_mutype,みゅーたんとミュータント,219.85,,16.76,,149.99999999999787,550,0.4,False
240,mugendai_mutype,チューニング,195.77,,15.4,,96.77419354838861,319,0.62,False
241,mugendai_mutype,Dream Voyage,261.96,,20.63,,157.8947368421057,685,0.38,False
242,mugendai_mutype,グラディエント,201.01,,15.87,,120.0,403,0.5,False
243,mugendai_mutype,LET'Sあちあちトレーニング！,206.29,,16.01,,176.47058823529605,595,0.34,False
244,mugendai_mutype,真夜中遊園地,229.73,,17.75,,193.54838709677279,747,0.31,False
245,mugendai_mutype,テレパシー,253.7,,19.69,,176.4705882352942,755,0.34,False
246,mugendai_mutype,TRASH LIFE,212.74,,16.8,,176.47058823529972,564,0.34,False
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,233.86,,17.52,,181.81818181817493,702,0.33,False
248,mugendai_mutype,コミュ着火Fire!,184.71,,14.7,,200.0000000000007,616,0.3,False
249,mugendai_mutype,Calling,182.22,,14.69,,176.47058823529235,532,0.34,False
250,mugendai_mutype,Hi-Vision,179.91,,14.57,,200.0000000000019,491,0.3,False
251,mugendai_mutype,コハク,219.72,,16.85,,98.36065573770502,423,0.61,True
252,mugendai_mutype,✞animaるパーティ✞開催中✞,176.9,,14.1,,193.54838709677279,575,0.31,False
253,mugendai_mutype,エンプティパペット,185.85,,14.65,,124.99999999999989,388,0.48,False
254,mugendai_mutype,限界現実サバイブ天使,195.78,,16.05,,187.500000000004,617,0.32,False
255,mugendai_mutype,ビッグマウス,172.71,,14.14,,146.34146341463284,418,0.41,False
256,mugendai_mutype,夢現妄想世界,211.92,,17.48,,193.54838709677279,689,0.31,False
257,mugendai_mutype,やわやわNERD 超FreQuency,187.32,,15.0,,146.34146341463537,462,0.41,False
258,mugendai_mutype,超惑星Xへの旅,173.27,,13.88,,136.36363636363706,394,0.44,False
259,mugendai_mutype,これはぼくたちの生存のあらすじ,234.49,,18.26,,193.54838709677279,747,0.31,False
260,mygo,迷星叫,211.19,,16.55,,187.500000000004,669,0.32,False
261,mygo,壱雫空,188.95,,15.17,,200.0000000000019,546,0.3,False
262,mygo,碧天伴走,218.58,,16.93,,193.54838709677279,700,0.31,False
263,mygo,影色舞,209.15,,16.38,,166.66666666666694,580,0.36,False
264,mygo,歌いましょう鳴らしましょう,176.31,,13.64,,222.22222222222257,653,0.27,False
265,mygo,潜在表明,261.67,,19.63,,136.36363636363487,590,0.44,False
266,mygo,音一会,282.01,,22.13,,199.99999999999952,936,0.3,False
267,mygo,春日影 (MyGO!!!!! ver.),256.32,,20.11,,193.54838709677279,829,0.31,False
268,mygo,詩超絆,236.34,,18.72,,187.49999999999983,612,0.32,True
269,mygo,迷路日々,215.27,,17.32,,133.33333333332828,558,0.45,True
270,mygo,無路矢,222.58,,17.27,,120.0,446,0.5,False
271,mygo,名無声,271.65,,22.35,,187.500000000004,860,0.32,False
272,mygo,栞,265.58,,21.49,,88.23529411764618,387,0.68,False
273,mygo,歩拾道,260.27,,20.51,,130.43478260869338,564,0.46,False
274,mygo,明弦音,243.73,,19.03,,187.49999999999568,753,0.32,False
275,mygo,孤壊牢,215.32,,16.87,,181.81818181818275,655,0.33,False
276,mygo,霧周途,221.9,,17.75,,222.2222222222138,812,0.27,False
277,mygo,端程山,260.77,,20.05,,181.81818181817493,784,0.33,False
278,mygo,処救生,217.19,,17.57,,193.54838709677279,692,0.31,False
279,mygo,輪符雨,207.23,,16.49,,153.8461538461536,532,0.39,False
280,mygo,夜隠染,200.38,,16.29,,111.11111111111275,373,0.54,False
281,mygo,過惰幻,237.44,,18.7,,166.6666666666735,541,0.36,False
282,mygo,回層浮,260.75,,20.55,,98.3606557377073,431,0.61,False
283,mygo,砂寸奏,223.57,,17.72,,181.81818181818275,679,0.33,False
284,mygo,焚音打,242.45,,18.89,,187.500000000004,757,0.32,False
285,mygo,残痕字,255.06,,19.89,,176.47058823529235,746,0.34,False
286,mygo,掌心正銘,221.18,,17.28,,181.81818181818275,676,0.33,False
287,mygo,証命讃歌,191.91,,14.41,,206.89655172414362,671,0.29,False
288,mygo,エガクミライ,238.93,,19.28,,88.23529411764618,353,0.68,False
289,mygo,静降想,277.61,,21.89,,93.75000000000095,435,0.64,False
290,mygo,聿日箋秋,236.07,,18.66,,181.81818181818275,717,0.33,False
291,mygo,往欄印,297.87,,24.33,,181.81818181817493,876,0.33,False
292,mygo,だれかの心臓になれたなら (Cover),235.88,,18.01,,146.34146341462522,538,0.41,False
293,mygo,遥か彼方 (Cover),248.76,,18.9,,171.4285714285742,653,0.35,False
294,mygo,雑踏、僕らの街 (Cover),187.95,,14.55,,171.42857142857247,542,0.35,False
295,mygo,過去を喰らう (Cover),240.32,,18.6,,187.49999999999983,749,0.32,False
296,mygo,君の神様になりたい。 (Cover),248.73,,19.5,,98.36065573770493,406,0.61,False
297,mygo,ノンブレス・オブリージュ (Cover),206.82,,17.11,,146.34146341463537,510,0.41,False
298,mygo,swim (Cover),209.33,,17.5,,193.54838709677279,679,0.31,False
299,mygo,猛独が襲う (Cover),254.31,,21.27,,157.89473684210125,664,0.38,False
300,mygo,春日影,122.7,,10.33,,187.49999999999568,274,0.32,True
301,pastel_palettes,TITLE IDOL,267.89,,21.57,,146.34146341463284,647,0.41,False
302,pastel_palettes,ワクワクmeetsトリップ,246.83,,20.41,,136.36363636363706,564,0.44,False
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,264.84,,20.75,,171.4285714285742,760,0.35,False
304,pastel_palettes,もういちど ルミナス,259.77,,20.52,,171.4285714285603,733,0.35,False
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,246.86,,18.72,,171.4285714285742,710,0.35,False
306,pastel_palettes,天下トーイツ A to Z☆,218.14,,17.0,,153.8461538461536,556,0.39,False
307,pastel_palettes,しゅわりん☆どり〜みん,236.08,,19.0,,176.47058823529235,694,0.34,False
